String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Volkl V-Torque 16,51,Fast,Polyester,181.7,49.7,5.6
Prince Tour XP 16,51,Fast,Polyester,198.3,36.5,5.5
Pacific XCite 16L (1.25),51,Fast,Polyester,206.3,27.8,5.8
Mantis Comfort Poly 16,51,Fast,Polyester,224.6,40.2,4.8
Luxilon Adrenaline 16L/1.25,40,Fast,Polyester,178.3,55.8,3.5
L-Tec Premium Pro OS 16L,40,Fast,Polyester,231.5,41.3,4.3
Wilson Enduro Mono 16L,40,Fast,Polyester,200.6,49.1,NA
Solinco Tour Bite Diamond Rough 17 (1.20),51,Fast,Polyester,181.7,43.5,4.3
Kirschbaum Pro Line I 18L (1.15),51,Fast,Polyester,189.2,50.4,4.4
Polyfibre Hexablade 17L (1.18),51,Fast,Polyester,168.6,63.8,5.2
Luxilon Monotec Super Poly 1.25/16L,62,Fast,Polyester,266.3,39.1,3.3
Pacific ATP Poly Power Pro 16L,51,Fast,Polyester,194.3,51.1,5
Gamma Monoblast 16,40,Fast,Polyester,201.2,50.6,3.8
Topspin Cyber Whirl 17 (1.24),51,Fast,Polyester,204,27,5.8
SuperString Nikita Soft 16L,62,Fast,Polyester,224,40,0
Gamma Zo Black Ice 18 (1.18),51,Fast,Polyester,199.5,39.6,4
Kirschbaum Pro Line II 1.30,40,Fast,Polyester,173.2,56.9,5.7
Gosen Sidewinder 17,62,Fast,Polyester,180.6,39.7,4.6
Wilson Enduro Tour 17,51,Fast,Polyester,169.7,62.4,4.8
Tourna Big Hitter 16,51,Fast,Polyester,225.7,39.8,NA
Yonex Poly Tour Spin G 1.25,40,Fast,Polyester,214.9,44.1,4.8
Gosen Polylon Premium 16L (1.27),51,Fast,Polyester,201.2,32.7,5.4
Polyfibre Poly Hightec 16L,40,Fast,Polyester,147.4,62.2,4.4
Tecnifibre Black Code 17,40,Fast,Polyester,208.6,50,4.2
Poly Star Turbo 16L (1.25),62,Fast,Polyester,224,48.7,5
Luxilon 4G S 15,40,Fast,Polyester,269.7,45.6,NA
Wilson Ripspin 15,40,Fast,Polyester,182.3,55.1,4.9
Babolat Revenge 16,40,Fast,Polyester,248.6,46.6,NA
LaserFibre Vorso 17 (1.23),51,Fast,Polyester,177.7,42.2,6.2
Wilson Revolve 16 (1.30),51,Fast,Polyester,184,45.2,7.2
Babolat RPM Blast 16,62,Fast,Polyester,274.3,35.8,4.5
Polyfibre Black Venom 16L (1.25),51,Fast,Polyester,170.3,60.4,NA
Wilson Enduro Pro 16,62,Fast,Polyester,238.9,34.6,4.7
Kirschbaum Pro Line X 16 (1.30),62,Fast,Polyester,262.9,25.2,5.1
Prince Tournament Poly 16,51,Fast,Polyester,215.5,45.9,0
Solinco Tour Bite Diamond Rough 16 (1.30),40,Fast,Polyester,134.3,75.6,4.9
Gamma IO 18 (1.18),51,Fast,Polyester,188.6,30.4,6.4
Polyfibre TCS Rapid 16L/1.25,40,Fast,Polyester,125.7,69.2,4.3
Kirschbaum Pro Line I 17 (1.25),62,Fast,Polyester,245.2,42.1,4.1
Alien Black Diamond 16,62,Fast,Polyester,223.5,45.8,4.5
Luxilon Big Banger Original 130/16,40,Fast,Polyester,187.5,58.9,4.8
Tourna Big Hitter Blue 17,51,Fast,Polyester,222.3,36.3,4.9
Gamma Zo Power 16L,51,Fast,Polyester,193.2,56.7,2.9
Solinco Outlast 16L (1.25),51,Fast,Polyester,208,28.8,6.5
Signum Pro Poly-Plasma 16L,40,Fast,Polyester,213.2,44.2,4.7
Yonex Poly Tour Pro Yellow 16 (1.30),62,Fast,Polyester,200.6,46.3,3.4
Signum Pro Poly Megaforce 16,62,Fast,Polyester,252.6,31.6,4.3
Dunlop Black Widow 16,51,Fast,Polyester,193.2,38.2,5.2
Babolat Pro Hurricane Tour 17,62,Fast,Polyester,251.5,37.3,5.2
RS RS Lyon 17,40,Fast,Polyester,162.3,56,5.4
Signum Pro Hyperion 17 (1.24),51,Fast,Polyester,202.3,42.6,4.2
Kirschbaum Super Smash 17 (1.25),40,Fast,Polyester,189.7,52.8,5.7
Poly Star Strike 16L (1.25),40,Fast,Polyester,159.4,55.6,4.8
Kirschbaum Max Power 17 (1.25),62,Fast,Polyester,249.2,19.5,5.4
Luxilon Big Banger TiMO 17L (1.17),62,Fast,Polyester,228.6,39.2,4.4
Volkl V-Star 19 (1.10),51,Fast,Polyester,166.9,35.7,6.5
Volkl V-Pro 16,51,Fast,Polyester,233.7,39.2,5
Gosen Polylon Comfort 16,40,Fast,Polyester,137.2,69.7,5.5
Weiss Cannon Black 5 Edge 17 (1.24),62,Fast,Polyester,235.5,27.2,4.7
Ashaway MonoGut 16L,51,Fast,Polyester,202.9,47,3.5
Kirschbaum Max Power 16 (1.30),51,Fast,Polyester,233.2,20.9,5.9
Polyfibre Hightec Premium 17,40,Fast,Polyester,126.9,68.6,3.9
Babolat Pro Hurricane 16,40,Fast,Polyester,186.9,47.6,NA
Solinco Tour Bite 18 (1.15),62,Fast,Polyester,193.7,45.2,5.8
L-Tec Premium 3S 16L (1.25),51,Fast,Polyester,220,35.6,4
Luxilon 4G Soft 1.25,62,Fast,Polyester,225.7,23.4,6.7
Gamma Moto Soft 16 (1.29),51,Fast,Polyester,200,31.4,6.4
Solinco Revolution 17,51,Fast,Polyester,188.6,50,6.6
Polyfibre Viper 16L/1.25,51,Fast,Polyester,170.3,60.1,NA
Weiss Cannon Turbotwist 17 (1.24),51,Fast,Polyester,216.6,49.5,4.2
Kirschbaum Pro Line II 17 (1.25),40,Fast,Polyester,166.9,59.8,4.7
Tourna Big Hitter Blue Rough 16,40,Fast,Polyester,192,54.7,3.4
Luxilon Big Banger ALU Power Spin 127/16,51,Fast,Polyester,213.7,45,4.3
Pacific Poly Force 16L,40,Fast,Polyester,184,51.6,4.5
Gamma RZR Rx 16,51,Fast,Polyester,196,27.3,3.9
Luxilon ALU Power Feel 18/1.20,51,Fast,Polyester,186.9,42.9,5.4
Tourna Big Hitter Silver 17,62,Fast,Polyester,192,45.5,5.4
Gamma Zo Magic 16,62,Fast,Polyester,257.7,30.4,4.1
Solinco Barb Wire 16L (1.25),51,Fast,Polyester,182.9,33.5,5.6
Yonex Poly Tour Tough 16L,51,Fast,Polyester,193.7,41.2,5.3
MSV Hepta-Twist 17,51,Fast,Polyester,181.2,50.2,5.7
Gosen Polymaster II 16,40,Fast,Polyester,140.6,64.4,5.1
Polyfibre Hightec Premium 16/1.30,51,Fast,Polyester,174.3,57.6,4.2
Dunlop Black Widow 17,40,Fast,Polyester,199.5,40,5.4
Diadem Solstice Power 16 (1.30),51,Fast,Polyester,202.9,29.6,8.1
Signum Pro Poly-Plasma Pure 17L (1.18),62,Fast,Polyester,224,41.7,NA
Kirschbaum Competition 17L (1.20),51,Fast,Polyester,190.3,45,4.1
Poly Star Energy 16L (1.25),51,Fast,Polyester,169.7,68,3.7
IsoSpeed Pulse 16,40,Fast,Polyester,128,71.7,4.7
Signum Pro X-Perience 17 (1.24),51,Fast,Polyester,224.6,25.2,6.2
Babolat Hurricane Feel 16,62,Fast,Polyester,272.6,27.4,4.7
Kirschbaum Super Smash Spiky 16/1.30,40,Fast,Polyester,185.7,64.1,5
Dunlop Explosive 17 (1.26),51,Fast,Polyester,192,32.4,5.1
Solinco Outlast 17,62,Fast,Polyester,214.3,43.2,5.5
Kirschbaum Helix 16,62,Fast,Polyester,250.3,40.3,5.4
Super String Tour Players V3 17 (1.20),51,Fast,Polyester,197.7,45,NA
Luxilon M2 Plus 130/16,62,Fast,Polyester,248,42.7,NA
MSV Focus Hex Soft 17 (1.25),40,Fast,Polyester,212,47.7,6.3
Prince Tour XC 15L,40,Fast,Polyester,173.2,60.9,5.5
Boris Becker Bomber 17,40,Fast,Polyester,152.6,58.3,NA
Solinco Tour Bite 17,40,Fast,Polyester,149.7,58.5,6.3
Signum Pro Poly Plasma 17 (1.23),51,Fast,Polyester,198.3,26,5.4
Topspin Cyber Blue 17,62,Fast,Polyester,199.5,45.4,5.1
Gosen Polylon PolyBreak 18 (1.20),51,Fast,Polyester,165.2,53.3,4.8
Leopard Plus Control 16,62,Fast,Polyester,249.7,35.9,3.9
Kirschbaum Black Shark 17 (1.25),62,Fast,Polyester,245.7,30.1,5.8
Prince Poly Spin 3D,51,Fast,Polyester,178.9,60.2,3.3
Diadem Solstice Power 17 (1.20),40,Fast,Polyester,185.2,43.3,8.6
Weiss Cannon Scorpion 1.33,40,Fast,Polyester,194.9,56.8,4.2
Kirschbaum P2 17L (1.20),62,Fast,Polyester,224.6,40,4.8
Poly Star Classic 17 (1.20),62,Fast,Polyester,210.3,52.4,4
Pacific X Force 18,62,Fast,Polyester,236.6,37.4,4.7
Tourna Black Zone 16,62,Fast,Polyester,217.7,28.7,5.6
Tecnifibre Black Code 16,51,Fast,Polyester,249.7,37.3,NA
Tourna Big HItter Black 7 16 (1.25),51,Fast,Polyester,222.9,24.3,5.6
Luxilon LXN Smart 16 (1.30),51,Fast,Polyester,208.6,45.9,NA
MSV Hepta-Twist 16,40,Fast,Polyester,151.4,63.7,0
Luxilon Adrenaline 17/1.20,40,Fast,Polyester,185.2,50.4,2.9
Dunlop Juice 17 (1.26),62,Fast,Polyester,226.9,38.9,3.9
Kirschbaum P2 16/1.30,51,Fast,Polyester,218.9,38.3,5.2
Head Sonic Pro Edge 16,51,Fast,Polyester,194.9,38.5,4.8
Luxilon Big Banger Ace 18 (1.12),62,Fast,Polyester,226.9,38.5,4
Boris Becker Bomber 16,62,Fast,Polyester,233.7,40.9,5.1
Head Hawk 18 (1.20),51,Fast,Polyester,194.3,28.9,6.3
Polyfibre TCS 17,51,Fast,Polyester,158.9,63.4,4.2
Tecnifibre Pro Red Code 17,51,Fast,Polyester,225.7,36.4,4.8
Wilson Ripspin 17,40,Fast,Polyester,171.5,54.2,5.2
Double AR Twice Dragon(1.30),40,Fast,Polyester,134.9,63.6,7.2
Diadem Solstice Power 15L (1.35),51,Fast,Polyester,228.6,29.6,7.1
IsoSpeed Axon Mono 16L,40,Fast,Polyester,175.5,37.9,3.2
Head Ultra Tour 16,40,Fast,Polyester,165.2,59.1,4.5
SuperString Pure Control V8 17,62,Fast,Polyester,205.7,40.5,NA
Volkl Cyclone 18,62,Fast,Polyester,210.9,43.1,7.1
Signum Pro Firestorm 1.25,62,Fast,Polyester,220.6,40.6,4.8
Prince Tour XP 15L,62,Fast,Polyester,207.5,35.7,5.2
Babolat Revenge 17,51,Fast,Polyester,222.3,48.7,NA
Weiss Cannon Ultra Cable 17 (1.23),51,Fast,Polyester,174.9,47.7,11.9
Mantis Power Poly 17,40,Fast,Polyester,184.6,46.7,4.8
Luxilon Adrenaline Rough 16L/1.25,40,Fast,Polyester,172,59.4,3.3
Gosen Polylon SP 17 (1.24),62,Fast,Polyester,211.5,43.9,4.6
Weiss Cannon Silverstring 120,40,Fast,Polyester,150.9,56.7,3.7
L-Tec Premium OS 17 (1.23),51,Fast,Polyester,224,28.8,4.1
Volkl Cyclone 19 (1.10),62,Fast,Polyester,191.5,32.2,8.2
Kirschbaum Touch Turbo 16L (1.275),40,Fast,Polyester,172,56.1,5.4
Babolat Hurricane Feel 17,40,Fast,Polyester,220.6,39.2,4.4
Luxilon Big Banger XP 125/16L,51,Fast,Polyester,209.2,49,4.1
Pacific X Force 17,40,Fast,Polyester,212,45.7,4.5
One Strings Carbon NRG 16,51,Fast,Polyester,180,42.3,5.1
Signum Pro Tornado 16,62,Fast,Polyester,256.6,35.1,5.1
Tecnifibre Ruff Code 17 (1.25),51,Fast,Polyester,207.5,28.7,NA
MSV Focus-Hex 16 (1.27),51,Fast,Polyester,185.7,43.3,8.6
Tourna Big Hitter Blue Rough 17,51,Fast,Polyester,209.7,43.8,3.2
Gamma Zo Tour 17 (1.25),40,Fast,Polyester,176.6,57.6,3.7
Kirschbaum Touch Turbo 1.30,62,Fast,Polyester,247.5,42.9,5.3
Gamma Zo Verve 17,40,Fast,Polyester,217.7,40.1,6.1
Wilson Enduro Tour 16,40,Fast,Polyester,232.6,42.8,5.2
Gosen Lumina Spin 16L (1.26),51,Fast,Polyester,178.3,50,6.6
Polyfibre Poly Hightec 18,62,Fast,Polyester,192.6,47.5,3.9
Solinco Tour Bite 16L (1.25),51,Fast,Polyester,237.7,25.2,5.9
Topspin Cyber Flash 16,40,Fast,Polyester,168,52.9,4.8
Volkl V-Pro 17,40,Fast,Polyester,159.4,57.7,5.1
Luxilon 4G 16 (1.30),51,Fast,Polyester,286.9,23.5,NA
Prince Tour XS 1.35,51,Fast,Polyester,195.5,36.9,5
MSV Focus Hex Soft 17L (1.20),51,Fast,Polyester,194.3,25.8,7.3
Yonex Poly Tour Pro 17 (1.20),51,Fast,Polyester,188.6,33.3,5.2
Tecnifibre X-Code 16,51,Fast,Polyester,188,37.9,2
Dunlop Explosive 16,51,Fast,Polyester,233.2,35.8,4.8
Polyfibre Black Venom 16 (1.30),40,Fast,Polyester,159.4,60.8,4.3
Wilson Enduro Gold 16,51,Fast,Polyester,213.7,47.1,NA
L-Tec Premium 5S 16L (1.25),40,Fast,Polyester,176,58.3,4
Prince Poly EXP 17,40,Fast,Polyester,189.2,50.4,4.4
Solinco Tour Bite Diamond Rough 16L (1.25),51,Fast,Polyester,191.5,47,5.4
Dunlop Comfort Poly 17,62,Fast,Polyester,267.5,32.3,4.5
Kirschbaum Pro Line I 17L (1.20),51,Fast,Polyester,194.9,52.2,3.9
Polyfibre Hexablade 16L (1.25),51,Fast,Polyester,172,62.9,4.6
Luxilon Monotec Zolo 125/16,62,Fast,Polyester,226.9,40,NA
Head Hawk 17 (1.25),40,Fast,Polyester,188,51.8,4.7
Gamma Zo Tour Rough 16,40,Fast,Polyester,139.4,66.8,6.1
Yonex Poly Tour Fire 16L (1.25),51,Fast,Polyester,194.9,35,5.8
SuperString Viper V2 Rough 16L,62,Fast,Polyester,214.9,38,5
Head Ultratour 17,62,Fast,Polyester,240,34,4.1
Gamma Zo Black Ice 17 (1.23),51,Fast,Polyester,211.5,41.2,3.7
Signum Pro Poly Speed Spin 1.28,51,Fast,Polyester,246.3,40.9,4.3
MSV Focus Hex 17L (1.18),62,Fast,Polyester,242.3,24.2,6.5
Luxilon Adrenaline 16,51,Fast,Polyester,212.6,45.3,3.6
Tourna Big Hitter Blue 16,51,Fast,Polyester,226.3,37.3,NA
Luxilon Element 1.30,40,Fast,Polyester,160,59,6.6
Polyfibre Viper 17/1.20,40,Fast,Polyester,128,70.3,3.9
Signum Pro Tornado 17 (1.23),40,Fast,Polyester,193.2,53.7,4.8
Luxilon Big Banger XP 15L (1.38),62,Fast,Polyester,269.7,39.1,3.6
Poly Star Turbo 16 (1.30),62,Fast,Polyester,225.2,51,5.3
Tecnifibre Pro Red Code 16,40,Fast,Polyester,218.3,41.9,4.9
Prince Tour XT 18,62,Fast,Polyester,198.3,35.1,6.4
Double AR Diablo (1.24),40,Fast,Polyester,134.9,62.2,7.4
Luxilon Monotec Zolo 15L,51,Fast,Polyester,219.5,47,4.6
Tecnifibre Polyspin 16L,51,Fast,Polyester,226.9,36.3,3.8
Solinco Tour Bite 16 Soft,40,Fast,Polyester,148.6,63.9,6.9
Babolat Duralast 17,40,Fast,Polyester,194.9,49.7,NA
Klip K-Boom 18 (1.20),51,Fast,Polyester,190.3,31.5,6.2
Kirschbaum Helix 17,62,Fast,Polyester,235.5,37.3,5.4
Kirschbaum Super Smash Spiky 1.20,62,Fast,Polyester,241.2,43.1,5.1
Polyfibre TCS 18 (1.15),51,Fast,Polyester,156,61.1,NA
Prince Tournament Poly 17,51,Fast,Polyester,209.2,51,NA
Wilson Revolve 17 (1.25),40,Fast,Polyester,154.3,54.4,7.7
Gamma IO Soft 16 (1.28),51,Fast,Polyester,200,33.7,6.1
Polyfibre Cobra 17/1.20,40,Fast,Polyester,125.2,65.4,3.6
Kirschbaum Pro Line II 18 (1.15),62,Fast,Polyester,200.6,43.5,4.5
Tourna Big Hitter Silver Rough 17,62,Fast,Polyester,217.7,38.5,4.1
Luxilon ALU Power 125/16L,40,Fast,Polyester,183.5,55.1,5.8
Gamma Poly Z 16,62,Fast,Polyester,209.2,46.2,5.4
Gamma Zo Twist 16,51,Fast,Polyester,190.3,46.3,4.7
Solinco Tour Bite 15L (1.35),51,Fast,Polyester,238.9,23.7,5.1
Yonex Poly Tour Pro Yellow 16L (1.25),62,Fast,Polyester,188,50.8,NA
Polyfibre Poly Hightec 16/1.30,40,Fast,Polyester,153.7,60.3,4.1
Tourna Big Hitter Black 7 17,51,Fast,Polyester,175.5,43,6.3
Babolat Pro Hurricane 17,62,Fast,Polyester,215.5,38.3,3.1
Tecnifibre Black Code 4S 17 (1.25),62,Fast,Polyester,227.5,23.1,9.8
Gamma Ocho 17 (1.25),51,Fast,Polyester,231.5,21,7.1
Signum Pro Poly Megaforce 17 (1.19),51,Fast,Polyester,213.2,36.3,4.8
Kirschbaum Competition 17 (1.25),40,Fast,Polyester,171.5,60.5,4.5
Poly Star Energy 17 (1.20),40,Fast,Polyester,137.7,67.1,4
Head Lynx 16 (1.30),62,Fast,Polyester,213.7,38.8,7
Ashaway MonoGut 17,62,Fast,Polyester,217.2,45,3.9
Volkl V-Torque 18 (1.18),51,Fast,Polyester,157.2,45.7,6
Kirschbaum Pro Line X 17 (1.25),40,Fast,Polyester,205.7,41.3,4.8
Head Lynx 18 (1.20),51,Fast,Polyester,174.9,45.6,6.3
Polyfibre Hightec Premium 16L,40,Fast,Polyester,150.3,62.7,4.4
Babolat RPM Team 16 Black,51,Fast,Polyester,280.6,22,3.9
Double AR WTS 25 (1.25),62,Fast,Polyester,197.2,48.3,7.3
Solinco Revolution 16,51,Fast,Polyester,215.5,47.4,6.4
Kirschbaum Spiky Shark 16,51,Fast,Polyester,216,47.4,7.5
Volkl Cyclone 16,51,Fast,Polyester,197.2,47.9,6.2
Luxilon Big Banger Timo 17 (1.22),40,Fast,Polyester,178.9,56.8,3.9
Solinco Barb Wire 16,40,Fast,Polyester,196.6,45.2,4.4
Luxilon M2 Pro 125/16,51,Fast,Polyester,181.7,53,3.6
Tecnifibre Razor Code 16 (1.30),51,Fast,Polyester,242.9,32.7,4.2
Luxilon 4G Rough 16L,51,Fast,Polyester,216,32.8,4.2
MSV Co.-Focus 16L,62,Fast,Polyester,213.2,42.3,4.2
Gamma Zo Ice 16,62,Fast,Polyester,240.6,36.4,4.2
Signum Pro Tornado 18 (1.17),51,Fast,Polyester,167.4,39.1,5.9
Weiss Cannon Blue Rock N Power,51,Fast,Polyester,224,27,11.1
Gosen Polymaster I 16,40,Fast,Polyester,150.9,66.1,4.7
Polyfibre TCS 16/1.30,51,Fast,Polyester,173.2,59.6,4.4
Babolat RPM Blast 17/1.25,40,Fast,Polyester,188.6,56.4,4.6
Prince Twisted 16L,40,Fast,Polyester,205.7,49.3,3.7
Diadem Solstice Pro 16L (1.25),51,Fast,Polyester,178.9,31.4,7.3
Signum Pro Poly-Plasma Pure 17 (1.23),62,Fast,Polyester,227.5,40.5,5.2
Poly Star Energy 16 (1.30),51,Fast,Polyester,173.2,66.3,4
Pacific Poly Force Xtreme 16L,51,Fast,Polyester,218.3,39.6,5
Double AR Raptor 1.27,40,Fast,Polyester,214.9,38.5,5.3
IsoSpeed Pyramid 16,40,Fast,Polyester,145.2,65.3,7
Tecnifibre Ice Code 16 (1.30),51,Fast,Polyester,221.2,35,5.6
Dunlop Juice 16 (1.31),51,Fast,Polyester,215.5,48.4,3.6
Kirschbaum Super Smash 16/1.30,40,Fast,Polyester,193.7,54.2,5.3
IsoSpeed Black Fire 17,62,Fast,Polyester,232.6,34.4,5.6
Luxilon Big Banger ALU Power Fluoro 17,51,Fast,Polyester,206.9,44.8,NA
MSV Focus Evo 17,51,Fast,Polyester,206.9,46.1,4.5
Double AR Twice Shark (1.25),51,Fast,Polyester,143.4,63.8,5.7
Dunlop Black Widow 18 (1.21),51,Fast,Polyester,194.9,30.9,5.8
Solinco Outlast 16,62,Fast,Polyester,235.5,40.1,6
Signum Pro Poly-Plasma 17L (1.18),51,Fast,Polyester,197.2,40.3,5
Klip Hardcore 16/1.30,62,Fast,Polyester,218.3,46.8,4.7
Gamma Moto 16,40,Fast,Polyester,212,51.5,5.8
Prince Tour XC 16L,40,Fast,Polyester,174.9,54.7,5.5
Babolat Duralast 16,40,Fast,Polyester,184,54.2,NA
Solinco Tour Bite 16,40,Fast,Polyester,174.3,60.4,6.7
Prince Tour XR 16 (1.30),51,Fast,Polyester,214.9,40.9,5.5
Diadem Elite XT 16,51,Fast,Polyester,204.6,40.4,8.7
SuperString Nikita Original 1.25,62,Fast,Polyester,228.6,36.9,3.4
Prince Beast XP 16,62,Fast,Polyester,228.6,36.5,3.9
Gosen Polylon PolyBreak 17 (1.24),51,Fast,Polyester,195.5,48.9,4.2
Weiss Cannon MatchPower 1.25,62,Fast,Polyester,242.3,35.6,3.6
Kirschbaum Black Shark 16 (1.30),62,Fast,Polyester,266.9,31,5.4
Weiss Cannon Silverstring 1.25,40,Fast,Polyester,166.9,56.9,3.8
Kirschbaum P2 17 (1.25),62,Fast,Polyester,258.3,31.3,4.9
Poly Star Classic 16L (1.25),62,Fast,Polyester,218.3,49.4,4.4
Klip K-Boom 16/1.30,40,Fast,Polyester,232.6,45.3,4.1
Pacific Poly Force 17,62,Fast,Polyester,250.3,33.7,4.5
One Strings Carbon Tour 17 (1.25),62,Fast,Polyester,246.3,22,NA
Signum Pro Poly-Plasma Pure 16L,51,Fast,Polyester,221.2,40.6,5.6
Tecnifibre Razor Code 17 (1.25),51,Fast,Polyester,229.2,29.6,5.6
Kirschbaum Competition 16/1.30,51,Fast,Polyester,210.3,47.5,4.9
Luxilon Big Banger Timo 18 (1.10),62,Fast,Polyester,206.9,40.5,3.6
Polyfibre TCS 16L,51,Fast,Polyester,166.9,62.1,3.8
Tecnifibre Pro Red Code 18,51,Fast,Polyester,217.2,36.3,5
Solinco Barb Wire 17 (1.20),40,Fast,Polyester,166.9,46.1,4.9
Wilson Ripspin 16,40,Fast,Polyester,174.9,56.2,5.2
Double AR Diablo (1.31),51,Fast,Polyester,169.7,55.7,7.7
Kirschbaum Long Life 15,40,Fast,Polyester,209.7,63.1,4.6
Head Sonic Pro 16,40,Fast,Polyester,125.2,67.7,4.2
Topspin Cyber Flash 17L,62,Fast,Polyester,166.3,56.2,4.6
Volkl Cyclone 17,62,Fast,Polyester,216,44.6,5.8
Volkl V-Torque 16,62,Fast,Polyester,201.7,41.6,5.6
Prince Tour XP 16,62,Fast,Polyester,222.9,32.4,5.5
Pacific XCite 16 (1.30),51,Fast,Polyester,220,26.7,6.6
Mantis Comfort Poly 16,40,Fast,Polyester,208,44.8,4.8
Gosen Polylon SP 16 (1.30),62,Fast,Polyester,219.5,46.6,4
L-Tec Premium Pro OS 16L,51,Fast,Polyester,253.7,26.4,4.3
Solinco Tour Bite Diamond Rough 17 (1.20),62,Fast,Polyester,197.7,36.6,4.3
Kirschbaum Pro Line I 18L (1.15),40,Fast,Polyester,158.9,60.4,4.4
Polyfibre Hexablade 17L (1.18),40,Fast,Polyester,136,71,5.2
Luxilon Monotec Super Poly 1.25/16L,51,Fast,Polyester,233.2,44.1,3.3
Pacific ATP Poly Power Pro 16L,40,Fast,Polyester,172.6,56.1,5
Signum Pro Hyperion 16,62,Fast,Polyester,235.5,39.3,4.6
Topspin Cyber Delta 17 (1.26),51,Fast,Polyester,200.6,34.7,5.6
SuperString Nikita Soft 16L,51,Fast,Polyester,182.9,49.2,0
Gamma Zo Black Ice 18 (1.18),40,Fast,Polyester,181.2,51.7,4
Kirschbaum Pro Line I 1.30,62,Fast,Polyester,259.5,41.8,4.4
Volkl Cyclone Tour 17 (1.25),40,Fast,Polyester,136.6,64.4,6.1
Wilson Enduro Tour 17,40,Fast,Polyester,137.2,66.9,4.8
Tourna Big Hitter 16,40,Fast,Polyester,209.7,46.4,NA
Yonex Poly Tour Spin G 1.25,51,Fast,Polyester,237.2,25.7,4.8
Gosen Poly Professional 16 (1.29),51,Fast,Polyester,186.3,44.3,5.4
Polyfibre Poly Hightec 17,62,Fast,Polyester,202.3,51.3,4
Tecnifibre Black Code 18,62,Fast,Polyester,225.7,36.6,4.6
Poly Star Turbo 16L (1.25),51,Fast,Polyester,168.6,64.9,5
Gosen Polylon 16,62,Fast,Polyester,248,43.7,4.1
Babolat RPM Team 16 Black,40,Fast,Polyester,246.9,40.4,3.9
Luxilon 4G S 15,51,Fast,Polyester,314.3,23.5,NA
Wilson Ripspin 15,51,Fast,Polyester,212,41.7,4.9
Babolat Pro Hurricane 18,62,Fast,Polyester,197.2,38.9,3.3
LaserFibre Vorso 16 (1.28),51,Fast,Polyester,180.6,51.5,6.4
Wilson Revolve 15 (1.35),51,Fast,Polyester,192,41.6,6.1
Babolat RPM Blast 16,51,Fast,Polyester,232.6,45.9,4.5
Polyfibre Black Venom 16L (1.25),40,Fast,Polyester,145.7,64.3,NA
Wilson Enduro Pro 16,51,Fast,Polyester,219.5,36.3,4.7
L-Tec Premium 4S 16L (1.25),40,Fast,Polyester,186.9,55.9,6.7
Prince Tournament Poly 16,40,Fast,Polyester,193.2,50.3,0
Solinco Tour Bite Diamond Rough 16 (1.30),51,Fast,Polyester,192.6,52,4.9
Gamma RZR Rx 17,51,Fast,Polyester,185.2,28.7,4.8
Kirschbaum Pro Line I 17 (1.25),51,Fast,Polyester,204.6,50.8,4.1
Alien Black Diamond 16,51,Fast,Polyester,190.3,50.7,4.5
Luxilon Big Banger Rough 130/16,62,Fast,Polyester,252.6,38.1,4.4
Tourna Big Hitter Blue 17,40,Fast,Polyester,208,44,4.9
Gamma Zo Power 16L,40,Fast,Polyester,223.5,65,2.9
Solinco Outlast 18 (1.15),51,Fast,Polyester,186.3,26.9,6.6
Luxilon Element Rough 16 (1.30),51,Fast,Polyester,198.3,34.9,7
Topspin Cyber Flash 17,62,Fast,Polyester,172,55,4.2
Head Sonic Pro 17,62,Fast,Polyester,203.5,46.6,3.9
Yonex Poly Tour Pro Yellow 16 (1.30),51,Fast,Polyester,191.5,44.5,3.4
Signum Pro Poly Megaforce 16,51,Fast,Polyester,234.9,34.9,4.3
Dunlop Black Widow 16,62,Fast,Polyester,208.6,38.5,5.2
Babolat Pro Hurricane Tour 17,51,Fast,Polyester,214.9,44.8,5.2
Signum Pro Hyperion 17 (1.24),40,Fast,Polyester,184.6,46.6,4.2
Kirschbaum Super Smash Spiky 17 (1.25),62,Fast,Polyester,253.2,41,5.2
Poly Star Strike 16 (1.30),62,Fast,Polyester,224.6,46.1,5.1
Volkl V-Star 16 (1.30),40,Fast,Polyester,130.3,67.2,6.9
Luxilon Big Banger TiMO 17L (1.17),51,Fast,Polyester,204,45.9,4.4
Weiss Cannon Scorpion 16L (1.28),51,Fast,Polyester,200,35.2,4.9
Volkl V-Pro 16,40,Fast,Polyester,210.3,49.8,5
Wilson Spin Cycle 16L,40,Fast,Polyester,158.9,62.7,4.2
Ashaway MonoGut 16L,40,Fast,Polyester,181.2,53.5,3.5
Kirschbaum Max Power Rough 18 (1.20),51,Fast,Polyester,195.5,27.8,6.8
Kirschbaum Spiky Shark 17,62,Fast,Polyester,238.3,39.9,7.4
Babolat Pro Hurricane 16,51,Fast,Polyester,204,39.6,NA
Solinco Tour Bite 18 (1.15),51,Fast,Polyester,161.7,50.6,5.8
L-Tec Premium 3S 16L (1.25),62,Fast,Polyester,246.9,27.3,4
Luxilon Alu Power Soft 1.25,40,Fast,Polyester,160,55.8,6.9
Gamma Moto Soft 17 (1.24),51,Fast,Polyester,184,34.8,7
Polyfibre Viper 16L/1.25,40,Fast,Polyester,142.3,63.3,NA
